statsDataId,表章事項,男女,全国、都道府県、市区町村,時間軸（年次）,単位,値
0004050397,2025_01,0,04101,2025000000,人,316317
0004050397,2025_01,0,04102,2025000000,人,194225
0004050397,2025_01,0,04103,2025000000,人,142988
0004050397,2025_01,0,04104,2025000000,人,238052
0004050397,2025_01,0,04105,2025000000,人,205369
0004050397,2025_01,0,04202,2025000000,人,128827
0004050397,2025_01,0,04203,2025000000,人,49765
0004050397,2025_01,0,04205,2025000000,人,54125
0004050397,2025_01,0,04206,2025000000,人,29477
0004050397,2025_01,0,04207,2025000000,人,78737
0004050397,2025_01,0,04208,2025000000,人,25448
0004050397,2025_01,0,04209,2025000000,人,61280
0004050397,2025_01,0,04211,2025000000,人,42283
0004050397,2025_01,0,04212,2025000000,人,69264
0004050397,2025_01,0,04213,2025000000,人,58190
0004050397,2025_01,0,04214,2025000000,人,37146
0004050397,2025_01,0,04215,2025000000,人,118567
0004050397,2025_01,0,04216,2025000000,人,51729
0004050397,2025_01,0,04301,2025000000,人,10010
0004050397,2025_01,0,04302,2025000000,人,1138
0004050397,2025_01,0,04321,2025000000,人,22927
0004050397,2025_01,0,04322,2025000000,人,9527
0004050397,2025_01,0,04323,2025000000,人,36755
0004050397,2025_01,0,04324,2025000000,人,7499
0004050397,2025_01,0,04341,2025000000,人,11011
0004050397,2025_01,0,04361,2025000000,人,31972
0004050397,2025_01,0,04362,2025000000,人,11207
0004050397,2025_01,0,04401,2025000000,人,12305
0004050397,2025_01,0,04404,2025000000,人,16791
0004050397,2025_01,0,04406,2025000000,人,34830
0004050397,2025_01,0,04421,2025000000,人,28275
0004050397,2025_01,0,04422,2025000000,人,7147
0004050397,2025_01,0,04424,2025000000,人,5426
0004050397,2025_01,0,04444,2025000000,人,5985
0004050397,2025_01,0,04445,2025000000,人,19902
0004050397,2025_01,0,04501,2025000000,人,13821
0004050397,2025_01,0,04505,2025000000,人,22162
0004050397,2025_01,0,04581,2025000000,人,5916
0004050397,2025_01,0,04606,2025000000,人,10845
0004050397,2025_01,0,05000,2025000000,人,882100
0004050397,2025_01,0,05201,2025000000,人,293588
0004050397,2025_01,0,05202,2025000000,人,45494
0004050397,2025_01,0,05203,2025000000,人,77559
0004050397,2025_01,0,05204,2025000000,人,63256
0004050397,2025_01,0,05206,2025000000,人,21600
0004050397,2025_01,0,05207,2025000000,人,37448
0004050397,2025_01,0,05209,2025000000,人,25640
0004050397,2025_01,0,05210,2025000000,人,69212
0004050397,2025_01,0,05211,2025000000,人,30257
0004050397,2025_01,0,05212,2025000000,人,71092
0004050397,2025_01,0,05213,2025000000,人,26459
0004050397,2025_01,0,05214,2025000000,人,21181
0004050397,2025_01,0,05215,2025000000,人,21666
0004050397,2025_01,0,05303,2025000000,人,4213
0004050397,2025_01,0,05327,2025000000,人,1705
